id,topics_list
5577f0ed,"['Human-Machine Interaction', 'Technology and Society’s Future', 'Artificial Intelligence and Ethics', 'Moral Dilemmas', 'Psychological Manipulation']"
fef27a63,"['Growth and Self-Discovery', 'Overcoming the Past', 'Mental Health and Self-care', 'Emotional Intelligence', 'Resilience in Adversity', 'Habit Formation', 'Mindfulness and Meditation']"
a09165fe,"['Resilience in Adversity', 'Entrepreneurship and Startups', 'Leadership Development', 'Emotional Intelligence', 'Financial Independence']"
df980b20,"['Growth and Self-Discovery', 'Mindfulness and Meditation', 'Mental Health and Self-care', 'Sustainability and Climate Change', 'Resilience in Adversity']"
2caaf8b2,"['Productivity Hacks', 'Habit Formation', 'Mastering Habits', 'Emotional Intelligence', 'Time Management']"
df9cccd9,"['Growth and Self-Discovery', 'Emotional Intelligence', 'Public Speaking and Communication', 'Mental Health and Self-care']"
4268286c,"['Growth and Self-Discovery', 'Resilience in Adversity', 'Mental Health and Self-care', 'Emotional Intelligence', 'Habit Formation', 'Productivity Hacks', 'Leadership Development']"
04051c5b,"['Growth and Self-Discovery', 'Journey to Redemption', 'Resilience in Adversity', 'Mindfulness and Meditation', 'Emotional Intelligence', 'Philosophical Journeys', 'Work-Life Balance', 'Sacrifices for Love']"
58ae58d6,"['Entrepreneurship and Startups', 'Resilience in Adversity', 'Underdog triumph', 'Growth and Self-Discovery', 'Leadership Development']"
74445e01,"['War and Rebellion', 'Unlikely Allies', 'Cybersecurity and Hacking', 'Resilience in Adversity', 'History of Ancient Civilizations']"
